order_id,book_title,category,store_location,quantity,price_per_unit,payment_method,order_date,total_price
1055,Becoming,Fiction,Bangkok,2,297.01,Cash,4/1/2024,594.02
1056,Educated,Finance,Phuket,3,310.7,QR Code,22/4/2024,932.1
1057,The Alchemist,History,Bangkok,4,206.41,Cash,1/2/2024,825.64
1058,The Midnight Library,Biography,Songkhla,5,185.49,Cash,3/2/2024,927.45
1059,The Alchemist,Finance,Chiang Mai,1,300.12,Cash,1/4/2024,300.12
1060,The Midnight Library,Fiction,Chiang Mai,5,311.37,Credit Card,4/4/2024,1556.85
1061,The Midnight Library,Fiction,Chiang Mai,4,348.1,Cash,12/3/2024,1392.4
1062,The Alchemist,Finance,Phuket,4,232.52,Credit Card,8/2/2024,930.08
1063,Atomic Habits,Biography,Songkhla,4,224.4,Credit Card,2/6/2024,897.6
1064,The Midnight Library,Finance,Bangkok,5,305.28,Cash,10/6/2024,1526.4
1065,The Midnight Library,Fiction,Khon Kaen,4,218.16,Cash,30/6/2024,872.64
1066,The Alchemist,Self-Help,Bangkok,5,336.15,Cash,27/4/2024,1680.75
1067,The Midnight Library,History,Khon Kaen,4,321.68,QR Code,3/1/2024,1286.72
1068,The Midnight Library,Fiction,Bangkok,3,235.8,Cash,2/5/2024,707.4
1069,The Alchemist,Finance,Songkhla,4,300.17,Credit Card,19/2/2024,1200.68
1070,The Alchemist,History,Khon Kaen,5,300.91,Cash,12/1/2024,1504.55
1071,Educated,Finance,Phuket,2,170.62,QR Code,23/2/2024,341.24
1072,Atomic Habits,Finance,Bangkok,4,330.51,Cash,12/5/2024,1322.04
1073,Atomic Habits,Self-Help,Bangkok,2,251.05,QR Code,26/2/2024,502.1
1074,The Midnight Library,History,Khon Kaen,3,315.29,QR Code,24/5/2024,945.87
1075,Atomic Habits,History,Phuket,1,214.01,Cash,21/4/2024,9999
1076,The Midnight Library,Self-Help,Phuket,3,329.1,Credit Card,16/2/2024,987.3
1077,Educated,Fiction,Songkhla,4,227.84,QR Code,30/5/2024,911.36
1078,The Alchemist,Finance,Phuket,2,152.17,Cash,25/3/2024,304.34
1079,The Alchemist,Biography,Phuket,2,331.08,Cash,21/5/2024,662.16
1080,The Alchemist,Finance,Phuket,5,168.26,Credit Card,6/3/2024,841.3
1081,Atomic Habits,Finance,Chiang Mai,2,213.86,QR Code,15/3/2024,427.72
1082,Educated,Fiction,Songkhla,5,340.01,QR Code,27/6/2024,1700.05
1083,Atomic Habits,Finance,Bangkok,1,340.12,Cash,12/4/2024,340.12
1084,Atomic Habits,Self-Help,Khon Kaen,4,264.69,Cash,14/6/2024,1058.76
1085,Educated,Self-Help,Bangkok,5,276.37,Credit Card,7/2/2024,1381.85
1086,Educated,History,Songkhla,1,239.69,Credit Card,19/2/2024,239.69
1087,Educated,Biography,Khon Kaen,2,208.64,QR Code,7/4/2024,417.28
1088,Educated,Finance,Songkhla,2,215.73,QR Code,22/3/2024,431.46
1089,The Alchemist,Finance,Phuket,1,284.5,Cash,30/1/2024,284.5
1090,Becoming,Fiction,Khon Kaen,2,300.47,QR Code,19/3/2024,600.94
1091,Becoming,Self-Help,Phuket,1,308.32,Credit Card,31/3/2024,308.32
1092,Educated,Biography,Bangkok,5,307.92,Credit Card,27/6/2024,1539.6
1093,Becoming,History,Bangkok,5,168.24,Cash,21/2/2024,841.2
1094,Becoming,Self-Help,Khon Kaen,1,248.88,Credit Card,14/6/2024,248.88
1095,Educated,History,Khon Kaen,5,161.51,Credit Card,19/3/2024,807.55
1096,Becoming,Fiction,Songkhla,5,259.91,Credit Card,30/1/2024,1299.55
1097,Atomic Habits,Fiction,Songkhla,5,238.31,Credit Card,15/4/2024,1191.55
1098,The Midnight Library,Finance,Phuket,3,327.54,Cash,20/2/2024,982.62
1099,The Midnight Library,Biography,Khon Kaen,4,220.18,Cash,21/3/2024,880.72
1100,Educated,History,,2,173.41,QR Code,12/5/2024,346.82
